Fin-dex,PD#PN,Section,Slug,Status,Chars,Est_Cost_USD,Quota_Impact_%,COMMAND
0849,SI.BB.007,17 - Sutta Interpretations,kaya-kaya-kayanupassana,PENDING,10347,0.2069,2.07%,
0850,SI.AA.005,17 - Sutta Interpretations,maha-cattarisaka-sutta-discourse-on-the-great-forty,PENDING,11698,0.234,2.34%,
0851,SI.CC.001,17 - Sutta Interpretations,dhammacakkappavattana-sutta,PENDING,255,0.0051,0.05%,
0852,SI.CC.002,17 - Sutta Interpretations,dhammacakkappavattana-sutta-introduction,PENDING,10262,0.2052,2.05%,
0854,SI.CC.004,17 - Sutta Interpretations,majjhima-patipada-relinquish-attachments-to-world,PENDING,11224,0.2245,2.24%,
0855,SI.CC.005,17 - Sutta Interpretations,tiparivattaya-and-twelve-types-of-nana,PENDING,10812,0.2162,2.16%,
0856,SI.CC.006,17 - Sutta Interpretations,relinquishing-defilements-via-three-rounds-and-four-stages,PENDING,10791,0.2158,2.16%,
0857,SI.DD.001,17 - Sutta Interpretations,anguttara-nikaya,PENDING,323,0.0065,0.06%,
0859,SI.DD.002,17 - Sutta Interpretations,dasa-akusala-dasa-kusala-basis-buddha-dhamma,PENDING,2390,0.0478,0.48%,
0860,SI.DD.003,17 - Sutta Interpretations,dasa-akusala-dasa-kusala-basis-of-buddha-dhamma-2,PENDING,2634,0.0527,0.53%,
0861,SI.AA.006,17 - Sutta Interpretations,na-cetanakaraniya-sutta,PENDING,8403,0.1681,1.68%,
0862,SI.AA.007,17 - Sutta Interpretations,pathama-metta-sutta,PENDING,2325,0.0465,0.46%,
0863,SI.AA.008,17 - Sutta Interpretations,kukkuravatika-sutta-majjhima-nikaya-57-kammakkhaya,PENDING,20701,0.414,4.14%,
0864,SI.AA.009,17 - Sutta Interpretations,agganna-sutta-discussion-introduction,PENDING,13199,0.264,2.64%,
0866,SI.AA.011,17 - Sutta Interpretations,tapussa-sutta-akuppa-cetovimutti,PENDING,15109,0.3022,3.02%,
0867,SI.AA.012,17 - Sutta Interpretations,yamaka-sutta-sn-22-85-arahanthood-not-annihilation,PENDING,9348,0.187,1.87%,
0868,SI.AA.013,17 - Sutta Interpretations,three-types-of-bodies-potthapada-sutta-dn-9,PENDING,8399,0.168,1.68%,
0869,MR.AA.000,18 - Myths or Realities?,myths-or-realities,PENDING,2539,0.0508,0.51%,
0870,MR.AA.001,18 - Myths or Realities?,vedas-originated-with-buddha-kassapas-teachings,PENDING,16671,0.3334,3.33%,
0871,MR.AA.002,18 - Myths or Realities?,dasa-mara-sena-marasena-ten-defilements,PENDING,15346,0.3069,3.07%,
0872,MR.AA.003,18 - Myths or Realities?,animisa-locana-bodhi-pooja,PENDING,10979,0.2196,2.2%,
0873,MR.AA.004,18 - Myths or Realities?,paramita-how-a-puthujjana-becomes-a-buddha,PENDING,15408,0.3082,3.08%,
0874,MR.AA.005,18 - Myths or Realities?,tisarana-vandana-and-its-effects-on-ones-gathi,PENDING,11779,0.2356,2.36%,
0875,MR.AA.006,18 - Myths or Realities?,does-the-hell-niraya-exist,PENDING,15537,0.3107,3.11%,
0876,MR.AA.007,18 - Myths or Realities?,can-buddhist-meditation-be-dangerous,PENDING,14040,0.2808,2.81%,
0877,MR.AA.008,18 - Myths or Realities?,boy-who-remembered-pali-suttas-for-1500-years,PENDING,7436,0.1487,1.49%,
0878,MR.AA.009,18 - Myths or Realities?,do-buddhists-pray-and-engage-in-idol-worshipping,PENDING,10493,0.2099,2.1%,
0887,PD.BB.000,20 - About,forums,PENDING,17,0.0003,0.0%,
0888,PD.CC.000,20 - About,about-me,PENDING,4676,0.0935,0.94%,
0889,QD.AA.000,21 - Quantum Mechanics and Dhamma,quantum-mechanics-buddhism-buddha-dhamma,PENDING,996,0.0199,0.2%,
0890,QD.AA.001,21 - Quantum Mechanics and Dhamma,quantum-mechanics-and-dhamma-introduction,PENDING,10183,0.2037,2.04%,
0891,QD.BB.001,21 - Quantum Mechanics and Dhamma,quantum-mechanics-and-consciousness,PENDING,112,0.0022,0.02%,
0892,QD.BB.002,21 - Quantum Mechanics and Dhamma,will-quantum-mechanics-be-able-to-explain-consciousness,PENDING,14788,0.2958,2.96%,
0893,QD.BB.003,21 - Quantum Mechanics and Dhamma,observer-effect-quantum-mechanics,PENDING,12170,0.2434,2.43%,
0894,QD.CC.001,21 - Quantum Mechanics and Dhamma,quantum-mechanics-a-new-interpretation,PENDING,2626,0.0525,0.53%,
0895,QD.CC.002,21 - Quantum Mechanics and Dhamma,what-is-a-wave-and-what-is-a-particle,PENDING,9644,0.1929,1.93%,
0896,QD.CC.003,21 - Quantum Mechanics and Dhamma,photons-are-particles-not-waves,PENDING,9382,0.1876,1.88%,
0897,QD.DD.001,21 - Quantum Mechanics and Dhamma,basis-of-proposed-interpretation-feynmans-technique-qed,PENDING,300,0.006,0.06%,
0898,QD.DD.002,21 - Quantum Mechanics and Dhamma,feynmans-glass-plate-experiment,PENDING,12486,0.2497,2.5%,
0899,QD.DD.003,21 - Quantum Mechanics and Dhamma,feynmans-method-of-a-particle-exploring-all-possible-paths,PENDING,8973,0.1795,1.79%,
0900,QD.DD.004,21 - Quantum Mechanics and Dhamma,exploring-possible-paths-fermats-principle-least-time,PENDING,5483,0.1097,1.1%,
0901,BA.AA.000,22 - Buddha Dhamma – Advanced,buddha-dhamma-advanced,PENDING,1573,0.0315,0.31%,
0902,CH.AA.001,23 - Buddhism in Charts,pali-words-writing-pronunciation,PENDING,12436,0.2487,2.49%,
0903,BA.AA.001,22 - Buddha Dhamma – Advanced,pali-suttas-in-tipie1b9adaka-direct-translations-are-wrong,PENDING,13544,0.2709,2.71%,
0906,BA.AA.003,22 - Buddha Dhamma – Advanced,rupa-and-rupakkhandha-not-external-objects,PENDING,12108,0.2422,2.42%,
0907,BA.AA.004,22 - Buddha Dhamma – Advanced,viparie1b987ama-two-meanings,PENDING,13344,0.2669,2.67%,
0908,BA.AA.005,22 - Buddha Dhamma – Advanced,arammae1b987a-sensory-input-initiates-critical-processes,PENDING,16940,0.3388,3.39%,
0941,CH.AA.003,23 - Buddhism in Charts,salayatana-are-not-sense-faculties,PENDING,11749,0.235,2.35%,
0944,CH.AA.005,23 - Buddhism in Charts,rupa-dhamma-appae1b9adigha-rupa-and-namagotta-memories,PENDING,11734,0.2347,2.35%,
0946,FT.BB.001,24 - FootNotes,parinibbana-of-waharaka-thero,PENDING,7505,0.1501,1.5%,
0947,FT.CC.001,24 - FootNotes,puredhamma-essays-in-a-book-format,PENDING,2387,0.0477,0.48%,
0948,FT.DD.001,24 - FootNotes,pure-dhamma-sinhala-translation,PENDING,812,0.0162,0.16%,
0949,FT.DD.002,24 - FootNotes,pure-dhamma-german-website,PENDING,1683,0.0337,0.34%,
0950,FT.DD.003,24 - FootNotes,pure-dhamma-korean-website,PENDING,1010,0.0202,0.2%,
0952,FT.EE.001,24 - FootNotes,niramisa-sukha-in-a-chart,PENDING,851,0.017,0.17%,
0953,FT.FF.001,24 - FootNotes,pali-glossary-with-pronunciation,PENDING,5370,0.1074,1.07%,
0954,FT.GG.001,24 - FootNotes,new-revised-posts,PENDING,20255,0.4051,4.05%,
0955,FT.HH.001,24 - FootNotes,pure-dhamma-sitemap,PENDING,30943,0.6189,6.19%,
0956,FT.II.001,24 - FootNotes,pure-dhamma-discussion-forum-guidelines,PENDING,7236,0.1447,1.45%,
0957,FT.JJ.001,24 - FootNotes,pure-dhamma-reflections-on-2019,PENDING,5901,0.118,1.18%,
0958,FT.JJ.002,24 - FootNotes,pure-dhamma-reflections-on-2018,PENDING,3444,0.0689,0.69%,
0959,FT.JJ.003,24 - FootNotes,pure-dhamma-reflections-on-2017,PENDING,7392,0.1478,1.48%,
0960,FT.JJ.004,24 - FootNotes,pure-dhamma-reflections-on-2016,PENDING,8221,0.1644,1.64%,
0961,FT.JJ.005,24 - FootNotes,reflections-on-2015,PENDING,6606,0.1321,1.32%,
0962,FT.JJ.006,24 - FootNotes,reflections-on-2014,PENDING,5865,0.1173,1.17%,
0970,MS.BB.001,25 - Miscellaneous,buddha-dhamma-in-a-chart,PENDING,251,0.005,0.05%,
0972,MS.CC.001,25 - Miscellaneous,ancient-teeth-found-in-china-challenge-modern-human-migration-theory,PENDING,1688,0.0338,0.34%,
0973,MS.CC.002,25 - Miscellaneous,mars-curiosity-photos-suggest-life-may-have-existed-on-red-planet,PENDING,466,0.0093,0.09%,
0974,MS.CC.003,25 - Miscellaneous,recent-publications-on-benefits-of-meditation,PENDING,1620,0.0324,0.32%,
0975,MS.CC.004,25 - Miscellaneous,laniakea-our-home-supercluster,PENDING,1286,0.0257,0.26%,
0976,MS.CC.005,25 - Miscellaneous,think-outside-the-box,PENDING,1899,0.038,0.38%,
0977,MS.CC.006,25 - Miscellaneous,there-are-as-many-creatures-on-your-body-as-there-are-people-on-earth,PENDING,3014,0.0603,0.6%,
0978,MS.CC.007,25 - Miscellaneous,news-article-on-robin-williams-and-buddhist-meditation,PENDING,1361,0.0272,0.27%,
0979,MS.CC.008,25 - Miscellaneous,world-historical-timeline,PENDING,354,0.0071,0.07%,
0980,MS.CC.009,25 - Miscellaneous,second-largest-religion-by-state-in-the-us,PENDING,996,0.0199,0.2%,
0982,NP.BB.001,26 - NEW POSTS,path-to-nibbana-the-necessary-background,PENDING,15240,0.3048,3.05%,
0983,NP.BB.002,26 - NEW POSTS,path-to-nibbana-learning-dhamma-to-become-a-sotapanna,PENDING,12531,0.2506,2.51%,
0984,NP.BB.003,26 - NEW POSTS,sotapanna-stage-from-kama-loka,PENDING,18985,0.3797,3.8%,
